"","year","series","pct_change","period"
"60",2008,"1. Per Capita GDP",-1.03327271946765,"New"
"61",2009,"1. Per Capita GDP",-5.34724230543101,"New"
"62",2010,"1. Per Capita GDP",1.45961584612725,"New"
"63",2011,"1. Per Capita GDP",0.311209345780495,"New"
"64",2012,"1. Per Capita GDP",0.738509214701559,"New"
"65",2013,"1. Per Capita GDP",1.13660233511679,"New"
"66",2014,"1. Per Capita GDP",2.49074762986317,"New"
"67",2015,"1. Per Capita GDP",1.41877070963774,"New"
"68",2016,"1. Per Capita GDP",1.10956013200226,"New"
"69",2017,"1. Per Capita GDP",1.92864258187135,"New"
"70",2018,"1. Per Capita GDP",0.796376354561975,"New"
"71",2019,"1. Per Capita GDP",1.07067285983297,"New"
"72",2020,"1. Per Capita GDP",-10.8039298339184,"New"
"73",2021,"1. Per Capita GDP",8.43164613522442,"New"
"74",2022,"1. Per Capita GDP",4.30293584881223,"New"
"75",1949,"2. Life Expectancy at Birth",NA,"Old"
"76",1950,"2. Life Expectancy at Birth",0.763470855968281,"Old"
"77",1951,"2. Life Expectancy at Birth",-0.568264607314586,"Old"
"78",1952,"2. Life Expectancy at Birth",1.89038686987105,"Old"
"79",1953,"2. Life Expectancy at Birth",0.38832158780382,"Old"
"80",1954,"2. Life Expectancy at Birth",0.530085959885393,"Old"
"81",1955,"2. Life Expectancy at Birth",-0.0570044178423917,"Old"
"82",1956,"2. Life Expectancy at Birth",0.384999287038372,"Old"
"83",1957,"2. Life Expectancy at Birth",0.170454545454532,"Old"
"84",1958,"2. Life Expectancy at Birth",0.255246738513906,"Old"
"85",1959,"2. Life Expectancy at Birth",0.183875530410177,"Old"
"86",1960,"2. Life Expectancy at Birth",0.268247917549058,"Old"
"87",1961,"2. Life Expectancy at Birth",-0.323852435933525,"Old"
"88",1962,"2. Life Expectancy at Birth",0.0988840231671044,"Old"
"89",1963,"2. Life Expectancy at Birth",-0.141123341800726,"Old"
"90",1964,"2. Life Expectancy at Birth",1.10231769361221,"Old"
"91",1965,"2. Life Expectancy at Birth",-0.0279563880346802,"Old"
"92",1966,"2. Life Expectancy at Birth",-0.111856823266217,"Old"
"93",1967,"2. Life Expectancy at Birth",0.895856662933931,"Old"
"94",1968,"2. Life Expectancy at Birth",-0.541065482796893,"Old"
"95",1969,"2. Life Expectancy at Birth",-0.0278978937090194,"Old"
"96",1970,"2. Life Expectancy at Birth",0.293009627459179,"Old"
"97",1971,"2. Life Expectancy at Birth",0.500834724540901,"Old"
"98",1972,"2. Life Expectancy at Birth",-0.346068660022148,"Old"
"99",1973,"2. Life Expectancy at Birth",0.277816363383807,"Old"
"100",1974,"2. Life Expectancy at Birth",0.263194348247677,"Old"
"101",1975,"2. Life Expectancy at Birth",0.373031224095068,"Old"
"102",1976,"2. Life Expectancy at Birth",-0.0137646249139781,"Old"
"103",1977,"2. Life Expectancy at Birth",0.64702643171806,"Old"
"104",1978,"2. Life Expectancy at Birth",-0.0820681165367286,"Old"
"105",1979,"2. Life Expectancy at Birth",0.150581793292265,"Old"
"106",1980,"2. Life Expectancy at Birth",0.587752870421004,"Old"
"107",1981,"2. Life Expectancy at Birth",0.44843049327354,"Old"
"108",1982,"2. Life Expectancy at Birth",0.162337662337668,"Old"
"109",1983,"2. Life Expectancy at Birth",0.351161534305768,"Old"
"110",1984,"2. Life Expectancy at Birth",0.511440107671615,"Old"
"111",1985,"2. Life Expectancy at Birth",-0.18746652383503,"Old"
"112",1986,"2. Life Expectancy at Birth",0.348806010195856,"Old"
"113",1987,"2. Life Expectancy at Birth",0.467914438502685,"Old"
"114",1988,"2. Life Expectancy at Birth",0.146373918829008,"Old"
"115",1989,"2. Life Expectancy at Birth",0.186021791124104,"Old"
"116",1990,"2. Life Expectancy at Birth",0.45092838196285,"Old"
"117",1991,"2. Life Expectancy at Birth",0.224452072880911,"Old"
"118",1992,"2. Life Expectancy at Birth",0.526939797128186,"Old"
"119",1993,"2. Life Expectancy at Birth",-0.196566636089642,"Old"
"120",1994,"2. Life Expectancy at Birth",0.735294117647062,"Old"
"121",1995,"2. Life Expectancy at Birth",-0.130344108446291,"Old"
"122",1996,"2. Life Expectancy at Birth",0.339336987731651,"Old"
"123",1997,"2. Life Expectancy at Birth",0.338189386056198,"Old"
"124",1998,"2. Life Expectancy at Birth",0.181488203266788,"Old"
"125",1999,"2. Life Expectancy at Birth",0.129399585921318,"Old"
"126",2000,"2. Life Expectancy at Birth",0.60739209097958,"Old"
"127",2001,"2. Life Expectancy at Birth",0.346820809248568,"Old"
"128",2002,"2. Life Expectancy at Birth",0.153609831029173,"Old"
"129",2003,"2. Life Expectancy at Birth",0.11503067484663,"Old"
"130",2004,"2. Life Expectancy at Birth",0.727690540022989,"Old"
"131",2005,"2. Life Expectancy at Birth",0.266159695817483,"Old"
"132",2006,"2. Life Expectancy at Birth",0.303375047402345,"Old"
"133",2007,"2. Life Expectancy at Birth",0.226843100189045,"Old"
"134",2008,"2. Life Expectancy at Birth",0.150886457940406,"Old"
"135",2009,"2. Life Expectancy at Birth",0.640301318267409,"Old"
"136",2010,"2. Life Expectancy at Birth",0.286926147704596,"Old"
"137",2011,"2. Life Expectancy at Birth",0.497574325164829,"Old"
"138",2012,"2. Life Expectancy at Birth",0.0742666171555738,"New"
"139",2013,"2. Life Expectancy at Birth",0.0865800865800957,"New"
"140",2014,"2. Life Expectancy at Birth",0.284231339594666,"New"
"141",2015,"2. Life Expectancy at Birth",-0.295748613678385,"New"
"142",2016,"2. Life Expectancy at Birth",0.185391175380059,"New"
"143",2017,"2. Life Expectancy at Birth",0.123365408339495,"New"
"144",2018,"2. Life Expectancy at Birth",-0.0492853622474027,"New"
"145",2019,"2. Life Expectancy at Birth",0.382149901380673,"New"
"146",2020,"2. Life Expectancy at Birth",-1.28945106226208,"New"
"147",2021,"2. Life Expectancy at Birth",0.174172679771088,"New"
